,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Q,S
665,0,2,1,32.0,2,0,14879,73.5,0,1
666,0,2,1,25.0,0,0,234686,13.0,0,1
668,0,3,1,43.0,0,0,3536,8.05,0,1
670,1,2,0,40.0,1,1,29750,39.0,0,1
671,0,1,1,31.0,1,0,12750,52.0,0,1
672,0,2,1,70.0,0,0,24580,10.5,0,1
673,1,2,1,31.0,0,0,244270,13.0,0,1
675,0,3,1,18.0,0,0,349912,7.775,0,1
676,0,3,1,24.5,0,0,342826,8.05,0,1
677,1,3,0,18.0,0,0,4138,9.8417,0,1
678,0,3,0,43.0,1,6,2144,46.9,0,1
679,1,1,1,36.0,0,1,17755,512.3292,0,0
681,1,1,1,27.0,0,0,17572,76.7292,0,0
682,0,3,1,20.0,0,0,6563,9.225,0,1
683,0,3,1,14.0,5,2,2144,46.9,0,1
684,0,2,1,60.0,1,1,29750,39.0,0,1
685,0,2,1,25.0,1,2,2123,41.5792,0,0
686,0,3,1,14.0,4,1,3101295,39.6875,0,1
687,0,3,1,19.0,0,0,349228,10.1708,0,1
688,0,3,1,18.0,0,0,350036,7.7958,0,1
689,1,1,0,15.0,0,1,24160,211.3375,0,1
690,1,1,1,31.0,1,0,17474,57.0,0,1
691,1,3,0,4.0,0,1,349256,13.4167,0,0
693,0,3,1,25.0,0,0,2672,7.225,0,0
694,0,1,1,60.0,0,0,113800,26.55,0,1
695,0,2,1,52.0,0,0,248731,13.5,0,1
696,0,3,1,44.0,0,0,363592,8.05,0,1
698,0,1,1,49.0,1,1,17421,110.8833,0,0
699,0,3,1,42.0,0,0,348121,7.65,0,1
700,1,1,0,18.0,1,0,17757,227.525,0,0
701,1,1,1,35.0,0,0,17475,26.2875,0,1
702,0,3,0,18.0,0,1,2691,14.4542,0,0
703,0,3,1,25.0,0,0,36864,7.7417,1,0
704,0,3,1,26.0,1,0,350025,7.8542,0,1
705,0,2,1,39.0,0,0,250655,26.0,0,1
706,1,2,0,45.0,0,0,223596,13.5,0,1
707,1,1,1,42.0,0,0,17476,26.2875,0,1
708,1,1,0,22.0,0,0,113781,151.55,0,1
710,1,1,0,24.0,0,0,17482,49.5042,0,0
712,1,1,1,48.0,1,0,19996,52.0,0,1
713,0,3,1,29.0,0,0,7545,9.4833,0,1
714,0,2,1,52.0,0,0,250647,13.0,0,1
715,0,3,1,19.0,0,0,348124,7.65,0,1
716,1,1,0,38.0,0,0,17757,227.525,0,0
717,1,2,0,27.0,0,0,34218,10.5,0,1
719,0,3,1,33.0,0,0,347062,7.775,0,1
720,1,2,0,6.0,0,1,248727,33.0,0,1
721,0,3,1,17.0,1,0,350048,7.0542,0,1
722,0,2,1,34.0,0,0,12233,13.0,0,1
723,0,2,1,50.0,0,0,250643,13.0,0,1
724,1,1,1,27.0,1,0,113806,53.1,0,1
725,0,3,1,20.0,0,0,315094,8.6625,0,1
726,1,2,0,30.0,3,0,31027,21.0,0,1
728,0,2,1,25.0,1,0,236853,26.0,0,1
729,0,3,0,25.0,1,0,3101271,7.925,0,1
730,1,1,0,29.0,0,0,24160,211.3375,0,1
731,0,3,1,11.0,0,0,2699,18.7875,0,0
733,0,2,1,23.0,0,0,28425,13.0,0,1
734,0,2,1,23.0,0,0,233639,13.0,0,1
735,0,3,1,28.5,0,0,54636,16.1,0,1
736,0,3,0,48.0,1,3,6608,34.375,0,1
737,1,1,1,35.0,0,0,17755,512.3292,0,0
741,0,1,1,36.0,1,0,19877,78.85,0,1
742,1,1,0,21.0,2,2,17608,262.375,0,0
743,0,3,1,24.0,1,0,376566,16.1,0,1
745,0,1,1,70.0,1,1,5735,71.0,0,1
746,0,3,1,16.0,1,1,2673,20.25,0,1
747,1,2,0,30.0,0,0,250648,13.0,0,1
748,0,1,1,19.0,1,0,113773,53.1,0,1
749,0,3,1,31.0,0,0,335097,7.75,1,0
750,1,2,0,4.0,1,1,29103,23.0,0,1
751,1,3,1,6.0,0,1,392096,12.475,0,1
752,0,3,1,33.0,0,0,345780,9.5,0,1
753,0,3,1,23.0,0,0,349204,7.8958,0,1
754,1,2,0,48.0,1,2,220845,65.0,0,1
755,1,2,1,0.67,1,1,250649,14.5,0,1
756,0,3,1,28.0,0,0,350042,7.7958,0,1
757,0,2,1,18.0,0,0,29108,11.5,0,1
758,0,3,1,34.0,0,0,363294,8.05,0,1
759,1,1,0,33.0,0,0,110152,86.5,0,1
761,0,3,1,41.0,0,0,3101272,7.125,0,1
762,1,3,1,20.0,0,0,2663,7.2292,0,0
763,1,1,0,36.0,1,2,113760,120.0,0,1
764,0,3,1,16.0,0,0,347074,7.775,0,1
765,1,1,0,51.0,1,0,13502,77.9583,0,1
767,0,3,0,30.5,0,0,364850,7.75,1,0
769,0,3,1,32.0,0,0,8471,8.3625,0,1
770,0,3,1,24.0,0,0,345781,9.5,0,1
771,0,3,1,48.0,0,0,350047,7.8542,0,1
772,0,2,0,57.0,0,0,3,10.5,0,1
774,1,2,0,54.0,1,3,29105,23.0,0,1
775,0,3,1,18.0,0,0,347078,7.75,0,1
777,1,3,0,5.0,0,0,364516,12.475,0,1
779,1,1,0,43.0,0,1,24160,211.3375,0,1
780,1,3,0,13.0,0,0,2687,7.2292,0,0
781,1,1,0,17.0,1,0,17474,57.0,0,1
782,0,1,1,29.0,0,0,113501,30.0,0,1
784,0,3,1,25.0,0,0,3101312,7.05,0,1
785,0,3,1,25.0,0,0,374887,7.25,0,1
786,1,3,0,18.0,0,0,3101265,7.4958,0,1
787,0,3,1,8.0,4,1,382652,29.125,1,0
788,1,3,1,1.0,1,2,2315,20.575,0,1
789,0,1,1,46.0,0,0,17593,79.2,0,0
791,0,2,1,16.0,0,0,239865,26.0,0,1
794,0,3,1,25.0,0,0,349203,7.8958,0,1
795,0,2,1,39.0,0,0,28213,13.0,0,1
796,1,1,0,49.0,0,0,17465,25.9292,0,1
797,1,3,0,31.0,0,0,349244,8.6833,0,1
798,0,3,1,30.0,0,0,2685,7.2292,0,0
799,0,3,0,30.0,1,1,345773,24.15,0,1
800,0,2,1,34.0,0,0,250647,13.0,0,1
801,1,2,0,31.0,1,1,31921,26.25,0,1
802,1,1,1,11.0,1,2,113760,120.0,0,1
803,1,3,1,0.42,0,1,2625,8.5167,0,0
804,1,3,1,27.0,0,0,347089,6.975,0,1
805,0,3,1,31.0,0,0,347063,7.775,0,1
806,0,1,1,39.0,0,0,112050,0.0,0,1
807,0,3,0,18.0,0,0,347087,7.775,0,1
808,0,2,1,39.0,0,0,248723,13.0,0,1
809,1,1,0,33.0,1,0,113806,53.1,0,1
810,0,3,1,26.0,0,0,3474,7.8875,0,1
811,0,3,1,39.0,0,0,48871,24.15,0,1
812,0,2,1,35.0,0,0,28206,10.5,0,1
813,0,3,0,6.0,4,2,347082,31.275,0,1
814,0,3,1,30.5,0,0,364499,8.05,0,1
816,0,3,0,23.0,0,0,3101290,7.925,0,1
817,0,2,1,31.0,1,1,2079,37.0042,0,0
818,0,3,1,43.0,0,0,7075,6.45,0,1
819,0,3,1,10.0,3,2,347088,27.9,0,1
820,1,1,0,52.0,1,1,12749,93.5,0,1
821,1,3,1,27.0,0,0,315098,8.6625,0,1
822,0,1,1,38.0,0,0,19972,0.0,0,1
823,1,3,0,27.0,0,1,392096,12.475,0,1
824,0,3,1,2.0,4,1,3101295,39.6875,0,1
827,1,2,1,1.0,0,2,2079,37.0042,0,0
830,1,3,0,15.0,1,0,2659,14.4542,0,0
831,1,2,1,0.83,1,1,29106,18.75,0,1
833,0,3,1,23.0,0,0,347468,7.8542,0,1
834,0,3,1,18.0,0,0,2223,8.3,0,1
835,1,1,0,39.0,1,1,17756,83.1583,0,0
836,0,3,1,21.0,0,0,315097,8.6625,0,1
838,1,3,1,32.0,0,0,1601,56.4958,0,1
840,0,3,1,20.0,0,0,3101287,7.925,0,1
841,0,2,1,16.0,0,0,3,10.5,0,1
842,1,1,0,30.0,0,0,113798,31.0,0,0
843,0,3,1,34.5,0,0,2683,6.4375,0,0
844,0,3,1,17.0,0,0,315090,8.6625,0,1
845,0,3,1,42.0,0,0,5547,7.55,0,1
847,0,3,1,35.0,0,0,349213,7.8958,0,0
848,0,2,1,28.0,0,1,248727,33.0,0,1
850,0,3,1,4.0,4,2,347082,31.275,0,1
851,0,3,1,74.0,0,0,347060,7.775,0,1
852,0,3,0,9.0,1,1,2678,15.2458,0,0
853,1,1,0,16.0,0,1,17592,39.4,0,1
854,0,2,0,44.0,1,0,244252,26.0,0,1
855,1,3,0,18.0,0,1,392091,9.35,0,1
856,1,1,0,45.0,1,1,36928,164.8667,0,1
857,1,1,1,51.0,0,0,113055,26.55,0,1
858,1,3,0,24.0,0,3,2666,19.2583,0,0
860,0,3,1,41.0,2,0,350026,14.1083,0,1
861,0,2,1,21.0,1,0,28134,11.5,0,1
862,1,1,0,48.0,0,0,17466,25.9292,0,1
864,0,2,1,24.0,0,0,233866,13.0,0,1
865,1,2,0,42.0,0,0,236852,13.0,0,1
866,1,2,0,27.0,1,0,2149,13.8583,0,0
867,0,1,1,31.0,0,0,17590,50.4958,0,1
869,1,3,1,4.0,1,1,347742,11.1333,0,1
870,0,3,1,26.0,0,0,349248,7.8958,0,1
871,1,1,0,47.0,1,1,11751,52.5542,0,1
872,0,1,1,33.0,0,0,695,5.0,0,1
873,0,3,1,47.0,0,0,345765,9.0,0,1
874,1,2,0,28.0,1,0,3381,24.0,0,0
875,1,3,0,15.0,0,0,2667,7.225,0,0
876,0,3,1,20.0,0,0,7534,9.8458,0,1
877,0,3,1,19.0,0,0,349212,7.8958,0,1
879,1,1,0,56.0,0,1,11767,83.1583,0,0
880,1,2,0,25.0,0,1,230433,26.0,0,1
881,0,3,1,33.0,0,0,349257,7.8958,0,1
882,0,3,0,22.0,0,0,7552,10.5167,0,1
883,0,2,1,28.0,0,0,34068,10.5,0,1
884,0,3,1,25.0,0,0,392076,7.05,0,1
885,0,3,0,39.0,0,5,382652,29.125,1,0
886,0,2,1,27.0,0,0,211536,13.0,0,1
887,1,1,0,19.0,0,0,112053,30.0,0,1
889,1,1,1,26.0,0,0,111369,30.0,0,0
890,0,3,1,32.0,0,0,370376,7.75,1,0
